1.A Età,1.B Genere:,2.A Ruolo ricoperto all'interno dell'organizzazione,Domanda,Testo
26-29,F,In formazione (tirocinio/stage),"6.A Descrivi almeno 3 punti deboli riscontrati nell’organizzazione in cui operi rispetto alla gestione di ""Gender Gap""",dafas
26-29,F,In formazione (tirocinio/stage),"6.B Descrivi almeno 3 punti di forza riscontrati nell’organizzazione in cui operi rispetto alla gestione di ""Gender Gap""",dsfas
26-29,F,In formazione (tirocinio/stage),"6.C Considerando le tue precedenti risposte, quale apporto potrebbe dare il tuo ruolo per affrontare/migliorare ""Gender Gap"" all’interno dell’organizzazione?",asdfasd
26-29,F,In formazione (tirocinio/stage),"6.D Quali sono gli ostacoli anticipati rispetto all’effettiva possibilità di dare il tuo apporto alla gestione di ""Gender Gap"", nel ruolo che tu ricopri?",dsafdf
26-29,F,In formazione (tirocinio/stage),"6.E Quali strategie potresti adottare, nel ruolo che ricopri, per affrontare tali ostacoli?",afdsfad
> 70,Altro,"Direttivo (CEO, CFO, Membro del CDA, Presidente, Dirigente ecc...)","6.A Descrivi almeno 3 punti deboli riscontrati nell’organizzazione in cui operi rispetto alla gestione di ""Gender Gap""",sWSqwsqw
> 70,Altro,"Direttivo (CEO, CFO, Membro del CDA, Presidente, Dirigente ecc...)","6.B Descrivi almeno 3 punti di forza riscontrati nell’organizzazione in cui operi rispetto alla gestione di ""Gender Gap""",wqsqwSwqs
> 70,Altro,"Direttivo (CEO, CFO, Membro del CDA, Presidente, Dirigente ecc...)","6.C Considerando le tue precedenti risposte, quale apporto potrebbe dare il tuo ruolo per affrontare/migliorare ""Gender Gap"" all’interno dell’organizzazione?",wqsqwS
> 70,Altro,"Direttivo (CEO, CFO, Membro del CDA, Presidente, Dirigente ecc...)","6.D Quali sono gli ostacoli anticipati rispetto all’effettiva possibilità di dare il tuo apporto alla gestione di ""Gender Gap"", nel ruolo che tu ricopri?",WQsqw
> 70,Altro,"Direttivo (CEO, CFO, Membro del CDA, Presidente, Dirigente ecc...)","6.E Quali strategie potresti adottare, nel ruolo che ricopri, per affrontare tali ostacoli?",qwswqsqw
18-25,M,Operativo,"6.A Descrivi almeno 3 punti deboli riscontrati nell’organizzazione in cui operi rispetto alla gestione di ""Gender Gap""",sdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdvsdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdvsdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdvsdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdvsdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdvsdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdvsdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdvsdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdvsdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdv
18-25,M,Operativo,"6.B Descrivi almeno 3 punti di forza riscontrati nell’organizzazione in cui operi rispetto alla gestione di ""Gender Gap""",sdvsdfvdfvfvsdffvssvdfvsdfvdfsvsdfvdsfvdfvdv
18-25,M,Operativo,"6.C Considerando le tue precedenti risposte, quale apporto potrebbe dare il tuo ruolo per affrontare/migliorare ""Gender Gap"" all’interno dell’organizzazione?",asfaff
18-25,M,Operativo,"6.D Quali sono gli ostacoli anticipati rispetto all’effettiva possibilità di dare il tuo apporto alla gestione di ""Gender Gap"", nel ruolo che tu ricopri?",fdasfdf
18-25,M,Operativo,"6.E Quali strategie potresti adottare, nel ruolo che ricopri, per affrontare tali ostacoli?",sdfad
